Model Pipeline Configuration,Validation F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score
Naive_Bayes_TFIDF,0.7950322102497689,0.8035,0.8331535976737464,0.8035,0.7795617680051034
LogisticReg_TFIDF,0.8893035146303867,0.8805,0.8802596657785571,0.8805,0.876787706433712
LogisticReg_Word2Vec,0.3019955228042029,0.4015,0.2850852850394398,0.4015,0.30877947196831884
SVM_Word2Vec,0.29373725034458525,0.396,0.24905315958517144,0.396,0.29752661696447996
RoBERTa,0.9393459359876083,0.9265,0.9303909834183994,0.9265,0.9258439050453781
