,precision,recall,f1-score,support
0,0.9702797202797203,0.955249569707401,0.9627059843885516,581.0
1,0.9247606019151847,0.9726618705035971,0.9481065918653576,695.0
2,0.9565217391304348,0.6918238993710691,0.8029197080291971,159.0
3,0.9283154121863799,0.9418181818181818,0.9350180505415162,275.0
4,0.9061032863849765,0.8616071428571429,0.8832951945080092,224.0
5,0.6666666666666666,0.9090909090909091,0.7692307692307693,66.0
accuracy,0.9265,0.9265,0.9265,0.9265
macro avg,0.8921079044272271,0.8887085955580503,0.8835460497605667,2000.0
weighted avg,0.9303909834183994,0.9265,0.9258439050453781,2000.0
